text_a,text_a_type,text_b,text_b_type,classes,type_of_relation,label
"The Nasdaq composite index increased 10.73 , or 0.7 percent , to 1,514.77 .",sentence,"The Nasdaq Composite index , full of technology stocks , was lately up around 18 points .",sentence,"['not equivalent', 'equivalent']",semantic equivalence,not equivalent
But he added group performance would improve in the second half of the year and beyond .,sentence,De Sole said in the results statement that group performance would improve in the second half of the year and beyond .,sentence,"['not equivalent', 'equivalent']",semantic equivalence,equivalent
He told The Sun newspaper that Mr. Hussein 's daughters had British schools and hospitals in mind when they decided to ask for asylum .,sentence,""" Saddam 's daughters had British schools and hospitals in mind when they decided to ask for asylum -- especially the schools , "" he told The Sun .",sentence,"['not equivalent', 'equivalent']",semantic equivalence,equivalent
"Gyorgy Heizler , head of the local disaster unit , said the coach was carrying 38 passengers .",sentence,"The head of the local disaster unit , Gyorgy Heizler , said the coach driver had failed to heed red stop lights .",sentence,"['not equivalent', 'equivalent']",semantic equivalence,not equivalent
Rudder was most recently senior vice president for the Developer & Platform Evangelism Business .,sentence,"Senior Vice President Eric Rudder , formerly head of the Developer and Platform Evangelism unit , will lead the new entity .",sentence,"['not equivalent', 'equivalent']",semantic equivalence,not equivalent
"As well as the dolphin scheme , the chaos has allowed foreign companies to engage in damaging logging and fishing operations without proper monitoring or export controls .",sentence,Internal chaos has allowed foreign companies to set up damaging commercial logging and fishing operations without proper monitoring or export controls .,sentence,"['not equivalent', 'equivalent']",semantic equivalence,not equivalent
"Sheena Young of Child , the national infertility support network , hoped the guidelines would lead to a more "" fair and equitable "" service for infertility sufferers .",sentence,"Sheena Young , a spokesman for Child , the national infertility support network , said the proposed guidelines should lead to a more "" fair and equitable "" service for infertility sufferers .",sentence,"['not equivalent', 'equivalent']",semantic equivalence,equivalent
""" I think you 'll see a lot of job growth in the next two years , "" he said , adding the growth could replace jobs lost .",sentence,""" I think you 'll see a lot of job growth in the next two years , "" said Mankiw .",sentence,"['not equivalent', 'equivalent']",semantic equivalence,not equivalent
"The new Finder puts a user 's folders , hard drive , network servers , iDisk and removable media in one location , providing one-click access .",sentence,"Panther 's redesigned Finder navigation tool puts a user 's favourite folders , hard drive , network servers , iDisk and removable media in one location .",sentence,"['not equivalent', 'equivalent']",semantic equivalence,equivalent
"But tropical storm warnings and watches were posted today for Haiti , western portions of the Dominican Republic , the southeastern Bahamas and the Turk and Caicos islands .",sentence,"Tropical storm warnings were in place Thursday for Jamaica and Haiti and watches for the western Dominican Republic , the southeastern Bahamas and the Turks and Caicos islands .",sentence,"['not equivalent', 'equivalent']",semantic equivalence,equivalent
A federal magistrate in Fort Lauderdale ordered him held without bail .,sentence,"Zuccarini was ordered held without bail Wednesday by a federal judge in Fort Lauderdale , Fla .",sentence,"['not equivalent', 'equivalent']",semantic equivalence,equivalent
A BMI of 25 or above is considered overweight ; 30 or above is considered obese .,sentence,"A BMI between 18.5 and 24.9 is considered normal , over 25 is considered overweight and 30 or greater is defined as obese .",sentence,"['not equivalent', 'equivalent']",semantic equivalence,not equivalent
"Six months ago , the IMF and Argentina struck a bare-minimum $ 6.8-billion debt rollover deal that expires in August .",sentence,"But six months ago , the two sides managed to strike a $ 6.8-billion debt rollover deal , which expires in August .",sentence,"['not equivalent', 'equivalent']",semantic equivalence,equivalent
"Inhibited children tend to be timid with new people , objects , and situations , while uninhibited children spontaneously approach them .",sentence,"Simply put , shy invividuals tend to be more timid with new people and situations .",sentence,"['not equivalent', 'equivalent']",semantic equivalence,equivalent
"I wanted to bring the most beautiful people into the most beautiful building , he said Sunday inside the Grand Central concourse .",sentence,""" I wanted to bring the most beautiful people into the most beautiful building , "" Tunick said Sunday .",sentence,"['not equivalent', 'equivalent']",semantic equivalence,equivalent
"The broad Standard & Poor 's 500 < .SPX > fell 10.75 points , or 1.02 percent , to 1,039.32 .",sentence,"The S & P 500 index was up 1.26 , or 0.1 percent , to 1,039.32 after sinking 10.75 yesterday .",sentence,"['not equivalent', 'equivalent']",semantic equivalence,not equivalent
"Duque will return to Earth Oct. 27 with the station 's current crew , U.S. astronaut Ed Lu and Russian cosmonaut Yuri Malenchenko .",sentence,Currently living onboard the space station are American astronaut Ed Lu and Russian cosmonaut Yuri Malenchenko .,sentence,"['not equivalent', 'equivalent']",semantic equivalence,not equivalent
"Singapore is already the United States ' 12th-largest trading partner , with two-way trade totaling more than $ 34 billion .",sentence,"Although a small city-state , Singapore is the 12th-largest trading partner of the United States , with trade volume of $ 33.4 billion last year .",sentence,"['not equivalent', 'equivalent']",semantic equivalence,equivalent
"The largest gains were seen in prices , new orders , inventories and exports .",sentence,"Sub-indexes measuring prices , new orders , inventories and exports increased .",sentence,"['not equivalent', 'equivalent']",semantic equivalence,equivalent
Trading in Loral was halted yesterday ; the shares closed on Monday at $ 3.01 .,sentence,"The New York Stock Exchange suspended trading yesterday in Loral , which closed at $ 3.01 Friday .",sentence,"['not equivalent', 'equivalent']",semantic equivalence,equivalent
Earnings per share from recurring operations will be 13 cents to 14 cents .,sentence,That beat the company 's April earnings forecast of 8 to 9 cents a share .,sentence,"['not equivalent', 'equivalent']",semantic equivalence,not equivalent
"He plans to have dinner with troops at Kosovo 's U.S. military headquarters , Camp Bondsteel .",sentence,"After that , he plans to have dinner at Camp Bondsteel with U.S. troops stationed there .",sentence,"['not equivalent', 'equivalent']",semantic equivalence,equivalent
Retailers J.C. Penney Co . Inc . ( JCP ) and Walgreen Co . ( WAG ) kick things off on Monday .,sentence,Retailers J.C. Penney Co . Inc . JCP.N and Walgreen Co . WAG.N kick things off on Monday .,sentence,"['not equivalent', 'equivalent']",semantic equivalence,equivalent
Prosecutors filed a motion informing Lee they intend to seek the death penalty .,sentence,He added that prosecutors will seek the death penalty .,sentence,"['not equivalent', 'equivalent']",semantic equivalence,equivalent
"Last year the court upheld Cleveland 's school voucher program , ruling 5-4 that vouchers are constitutional if they provide parents a choice of religious and secular schools .",sentence,"Last year , the court ruled 5-4 in an Ohio case that government vouchers are constitutional if they provide parents with choices among a range of religious and secular schools .",sentence,"['not equivalent', 'equivalent']",semantic equivalence,equivalent
He beat testicular cancer that had spread to his lungs and brain .,sentence,"Armstrong , 31 , battled testicular cancer that spread to his brain .",sentence,"['not equivalent', 'equivalent']",semantic equivalence,not equivalent
"Sorkin , who faces charges of conspiracy to obstruct justice and lying to a grand jury , was to have been tried separately .",sentence,Sorkin was to have been tried separately on charges of conspiracy and lying to a grand jury .,sentence,"['not equivalent', 'equivalent']",semantic equivalence,equivalent
"Graves reported from Albuquerque , Villafranca from Austin and Ratcliffe from Laredo .",sentence,Pete Slover reported from Laredo and Gromer Jeffers from Albuquerque .,sentence,"['not equivalent', 'equivalent']",semantic equivalence,not equivalent
"The US chip market is expected to decline 2.1 percent this year , then grow 15.7 percent in 2004 .",sentence,"The Americas market will decline 2.1 percent to $ 30.6 billion in 2003 , and then grow 15.7 percent to $ 35.4 billion in 2004 .",sentence,"['not equivalent', 'equivalent']",semantic equivalence,equivalent
"The group will be headed by State Department official John S. Wolf , who has served in Australia , Vietnam , Greece and Pakistan .",sentence,"The group will be headed by John S. Wolf , an assistant secretary of state who has served in Australia , Vietnam , Greece and Pakistan .",sentence,"['not equivalent', 'equivalent']",semantic equivalence,equivalent
"The commission must work out the plan 's details , but the average residential customer paying $ 840 a year would get a savings of about $ 30 annually .",sentence,An average residential customer paying $ 840 a year for electricity could see a savings of $ 30 annually .,sentence,"['not equivalent', 'equivalent']",semantic equivalence,not equivalent
The company has said it plans to restate its earnings for 2000 through 2002 .,sentence,"The company had announced in January that it would have to restate earnings for 2002 , 2001 and perhaps 2000 .",sentence,"['not equivalent', 'equivalent']",semantic equivalence,equivalent
Results from No. 2 U.S. soft drink maker PepsiCo Inc . PEP.N were likely to be in the spotlight .,sentence,Results from No. 2 U.S. soft drink maker PepsiCo Inc . ( nyse : PEP - news - people ) were likely to be in the spotlight .,sentence,"['not equivalent', 'equivalent']",semantic equivalence,equivalent
""" The result is an overall package that will provide significant economic growth for our employees over the next four years . """,sentence,""" The result is an overall package that will provide a significant economic growth for our employees over the next few years , "" he said .",sentence,"['not equivalent', 'equivalent']",semantic equivalence,equivalent
"The songs are on offer for 99 cents each , or $ 9.99 for an album .",sentence,The company will offer songs for 99 cents and albums for $ 9.95 .,sentence,"['not equivalent', 'equivalent']",semantic equivalence,equivalent
"However , the talk was downplayed by PBL which said it would focus only on smaller purchases that were immediately earnings and cash flow accretive .",sentence,"The talk , however , has been downplayed by PBL which said it would focus only on smaller purchases that were immediately earnings and cash flow-accretive .",sentence,"['not equivalent', 'equivalent']",semantic equivalence,equivalent
Comcast Class A shares were up 8 cents at $ 30.50 in morning trading on the Nasdaq Stock Market .,sentence,The stock rose 48 cents to $ 30 yesterday in Nasdaq Stock Market trading .,sentence,"['not equivalent', 'equivalent']",semantic equivalence,equivalent
The Washington Post said Airlite would shut down its first shift and parts of the second shift Monday to accommodate the president ’ s appearance .,sentence,"The plant plans to shut down its first shift and parts of the second shift Monday to accommodate the president 's appearance , Crosby said .",sentence,"['not equivalent', 'equivalent']",semantic equivalence,equivalent
"A former teammate , Carlton Dotson , has been charged with the murder .",sentence,"His body was found July 25 , and former teammate Carlton Dotson has been charged in his shooting death .",sentence,"['not equivalent', 'equivalent']",semantic equivalence,not equivalent
