premise_type,hypothesis_type,label,type_of_class,classes
yeah well you're a student right,Well you're a mechanics student right?,neutral,entailment,"['entailment', 'neutral']"
it really is i heard something that their supposed to be starting a huge campaign in New York about um child abuse and stopping child abuse and it's supposed to be like it's starting there supposed to be like a big nationwide campaign and you know so hopefully that will take off and really do something i don't know there's just,It's unfortunate that nobody is organizing a child abuse campaign.,2,entailment,"['entailment', 'neutral']"
Postal Service were to reduce delivery frequency.,The postal service could deliver less frequently.,entailment,entailment,"['entailment', 'neutral']"
"And in another shift in the economy, it was found that lamb could be raised more cost-effectively on lowland farms in part because of the richer, more nutritious grazing land available there and as a result Lakeland farms became less profitable.",Another shift in the economy was found to be more nutritious.,entailment,entailment,"['entailment', 'neutral']"
The rule contains information collection requirements which will allow EPA to determine that detergent additives which are effective in controlling deposits are used and that emission control goals are realized.,The rule has data collection requirements which aid the EPA to realize their emission control goals.,entailment,entailment,"['entailment', 'neutral']"
"Almost every hill has to the northeast there's a Moorish fort; no fewer than four ruined fortresses guard the harbour entrance; and two more, still in good repair the Atalaya and Galeras castles protect the sea-front arsenal, of vital importance to Spain's military.",There are no castles Atalaya and Galeras.,2,entailment,"['entailment', 'neutral']"
Were they in there?,Were they supposed to be in there?,neutral,entailment,"['entailment', 'neutral']"
"Felicia's Journey takes place behind the eyes of its central  a young Irish girl, Felicia, who crosses the sea to England in a hopeful quest to find the father of her unborn child; and the fat, middle-aged catering manager, Hiditch, who takes a paternal interest in the lass when it becomes clear that her young man has caddishly given her the slip.",The woman did not care where the man was as long as it was far.,2,entailment,"['entailment', 'neutral']"
"In the crypt are interred the remains of Voltaire and Rousseau, Hugo and Zola, assassinated Socialist leader Jean Jaurys, and Louis Braille, the inventor of the alphabet for the blind.","The remains of Voltaire and Rousseau, Hugo and Zola, assassinated Socialist leader Jean Jaurys, and Louis Braille are all interred in the crypt.",entailment,entailment,"['entailment', 'neutral']"
there's a uh a couple called um oh i'm going to forgot his name now uh Dirkson,I can't remember their name,entailment,entailment,"['entailment', 'neutral']"
"Poirot, I exclaimed, with relief, and seizing him by both hands, I dragged him into the room. ",Poirot was now back and I was sorry that he would take over what I now considered my own investigation. ,2,entailment,"['entailment', 'neutral']"
"The word aswan actually means trade or market in ancient Egyptian, signifying its most pre-eminent activity.",Aswan's meaning has not changed over time.,2,entailment,"['entailment', 'neutral']"
well what the market can bear and,THe market can't bear any of it.,2,entailment,"['entailment', 'neutral']"
"And to show just how fast Japan's new rulers were catching on, two punitive expeditions were launched against Korea and China in the grand manner of 19th-century gunboat diplomacy.",Japan's new rulers were catching on quickly.,entailment,entailment,"['entailment', 'neutral']"
"When the trust fund begins running cash deficits in 2016, the government as a whole must come up with the cash to finance Social Security's cash deficit by reducing any projected non-Social Security surpluses, borrowing from the public, raising other taxes, or reducing other government spending.",The public would generally prefer to see the government reduce its spending in other areas to finance Social Security.,neutral,entailment,"['entailment', 'neutral']"
These organizations invest the time and effort to understand their processes and how those processes contribute to or hamper mission accomplishment.,These organizations invest lots of time to understand how some processes can contribute to or haampe,entailment,entailment,"['entailment', 'neutral']"
and it is nice talking to you all righty,I talk to you every day.,neutral,entailment,"['entailment', 'neutral']"
You have access to the facts. ,The facts are accessible to you.,entailment,entailment,"['entailment', 'neutral']"
Build environment Engineering Manufacturing Production (all rate tooling) (1st set of production tooling),It is the first set of production tooling for manufacturing.,entailment,entailment,"['entailment', 'neutral']"
"As long you have your own household in order, fretting about your neighbor's spending habits is a lot like fretting about the color of his living-room rug.",You should worry about the color of your neighbor's rug. ,2,entailment,"['entailment', 'neutral']"
yeah so um also of course they they can they join the they can always join the military service they are considered citizens i believe,They can't join the military service,2,entailment,"['entailment', 'neutral']"
She smiled back.,She was so happy she couldn't stop smiling.,neutral,entailment,"['entailment', 'neutral']"
"According to the Office of the Actuary at the Health Care Financing Administration, the estimated net present value of future additional resources needed to fund HI benefits alone over the 75 years is $4.",The net present value of future additional resources for funding HI benefits was $4.,entailment,entailment,"['entailment', 'neutral']"
