text_a,text_a_type,text_b,text_b_type,classes,type_of_relation,label
"And to show just how fast Japan's new rulers were catching on, two punitive expeditions were launched against Korea and China in the grand manner of 19th-century gunboat diplomacy.",premise,Japan's new rulers were catching on quickly.,hypothesis,"['entailment', 'neutral', 'contradiction']",entailment,entailment
"When the trust fund begins running cash deficits in 2016, the government as a whole must come up with the cash to finance Social Security's cash deficit by reducing any projected non-Social Security surpluses, borrowing from the public, raising other taxes, or reducing other government spending.",premise,The public would generally prefer to see the government reduce its spending in other areas to finance Social Security.,hypothesis,"['entailment', 'neutral', 'contradiction']",entailment,neutral
These organizations invest the time and effort to understand their processes and how those processes contribute to or hamper mission accomplishment.,premise,These organizations invest lots of time to understand how some processes can contribute to or haampe,hypothesis,"['entailment', 'neutral', 'contradiction']",entailment,entailment
and it is nice talking to you all righty,premise,I talk to you every day.,hypothesis,"['entailment', 'neutral', 'contradiction']",entailment,neutral
You have access to the facts. ,premise,The facts are accessible to you.,hypothesis,"['entailment', 'neutral', 'contradiction']",entailment,entailment
Build environment Engineering Manufacturing Production (all rate tooling) (1st set of production tooling),premise,It is the first set of production tooling for manufacturing.,hypothesis,"['entailment', 'neutral', 'contradiction']",entailment,entailment
She smiled back.,premise,She was so happy she couldn't stop smiling.,hypothesis,"['entailment', 'neutral', 'contradiction']",entailment,neutral
"According to the Office of the Actuary at the Health Care Financing Administration, the estimated net present value of future additional resources needed to fund HI benefits alone over the 75 years is $4.",premise,The net present value of future additional resources for funding HI benefits was $4.,hypothesis,"['entailment', 'neutral', 'contradiction']",entailment,entailment
"Thus, with respect to the litigation services Congress has funded, there is no alternative channel for expression of the advocacy Congress seeks to restrict.",premise,This is the only channel of expression of the advocacy that Congress seeks to restrict.,hypothesis,"['entailment', 'neutral', 'contradiction']",entailment,entailment
How do we fix this?',premise,Can we fix this?,hypothesis,"['entailment', 'neutral', 'contradiction']",entailment,entailment
but that takes too much planning,premise,It doesn't take much planning.,hypothesis,"['entailment', 'neutral', 'contradiction']",entailment,contradiction
"I did not mention Monica in my lecture, but the first question I was asked was how President Clinton could do his job with all the distractions caused by the Monica Lewinsky affair.",premise,They wanted to get through the lecture without any problems.,hypothesis,"['entailment', 'neutral', 'contradiction']",entailment,neutral
"Analyzing Postal Service accounts for depreciation, fuel, and maintenance for city delivery carriers, we have estimated the average city delivery vehicle cost per route.",premise,Driving cost estimates can be averaged will sufficient data.,hypothesis,"['entailment', 'neutral', 'contradiction']",entailment,neutral
