sentence1,sentence2,label,sentence1_type,sentence2_type,type_of_class,classes
The foxes are getting in at night and attacking the chickens. They have gotten very bold.,The foxes have gotten very bold.,not_entailment,text,text,entailment,"['entailment', 'not_entailment']"
"Sam pulled up a chair to the piano, but it was broken, so he had to stand instead.","The piano was broken, so he had to stand instead.",entailment,text,text,entailment,"['entailment', 'not_entailment']"
Jane knocked on Susan's door but she did not get an answer.,Susan did not get an answer.,entailment,text,text,entailment,"['entailment', 'not_entailment']"
"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck, he would have won.",Adam would have won.,entailment,text,text,entailment,"['entailment', 'not_entailment']"
I put the butterfly wing on the table and it broke.,The table broke.,entailment,text,text,entailment,"['entailment', 'not_entailment']"
"Paul tried to call George on the phone, but he wasn't successful.",Paul wasn't successful.,not_entailment,text,text,entailment,"['entailment', 'not_entailment']"
Look! There is a shark swimming right below that duck! It had better get away to safety fast!,The shark had better get away to safety fast!,entailment,text,text,entailment,"['entailment', 'not_entailment']"
The trophy doesn't fit into the brown suitcase because it is too large.,The suitcase is too large.,entailment,text,text,entailment,"['entailment', 'not_entailment']"
"Joe's uncle can still beat him at tennis, even though he is 30 years older.",Joe is 30 years older.,entailment,text,text,entailment,"['entailment', 'not_entailment']"
The large ball crashed right through the table because it was made of steel.,The large ball was made of steel.,not_entailment,text,text,entailment,"['entailment', 'not_entailment']"
Sam broke both his ankles and he's walking with crutches. But a month or so from now they should be better.,The crutches should be better.,entailment,text,text,entailment,"['entailment', 'not_entailment']"
"Grant worked hard to harvest his beans so he and his family would have enough to eat that winter, His friend Henry let him stack them in his barn where they would dry. Later, he and Tatyana would shell them and cook them for their Sunday dinners.",His friend Henry let him stack Grant and his family in his barn where they would dry.,entailment,text,text,entailment,"['entailment', 'not_entailment']"
"Jane knocked on the door, and Susan answered it. She invited her to come out.",Jane invited her to come out.,not_entailment,text,text,entailment,"['entailment', 'not_entailment']"
Dan had to stop Bill from toying with the injured bird. He is very cruel.,Bill is very cruel.,not_entailment,text,text,entailment,"['entailment', 'not_entailment']"
"Tom said ""Check"" to Ralph as he took his bishop.","Tom said ""Check"" to Ralph as he took Ralph's bishop.",not_entailment,text,text,entailment,"['entailment', 'not_entailment']"
"I sallied out for a bit of food, more to pass the time than because I wanted it.","I sallied out for a bit of food, more to pass the time than because I wanted food.",not_entailment,text,text,entailment,"['entailment', 'not_entailment']"
Joe paid the detective after he received the final report on the case.,Joe received the final report on the case.,not_entailment,text,text,entailment,"['entailment', 'not_entailment']"
"We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply too many of them.",There were simply too many copies of the newsletter.,entailment,text,text,entailment,"['entailment', 'not_entailment']"
Joe has sold his house and bought a new one a few miles away. He will be moving into it on Thursday.,He will be moving into The new house on Thursday.,not_entailment,text,text,entailment,"['entailment', 'not_entailment']"
"Always before, Larry had helped Dad with his work. But he could not help him now, for Dad said that his boss at the railroad company would not want anyone but him to work in the office.",He could not help Dad now.,not_entailment,text,text,entailment,"['entailment', 'not_entailment']"
"The table was piled high with food, and on the floor beside it there were crocks, baskets, and a five-quart pail of milk.","Beside the table there were crocks, baskets, and a five-quart pail of milk.",not_entailment,text,text,entailment,"['entailment', 'not_entailment']"
Jim comforted Kevin because he was so upset.,Kevin was so upset.,not_entailment,text,text,entailment,"['entailment', 'not_entailment']"
"Jackson was greatly influenced by Arnold, though he lived two centuries earlier.",Arnold lived two centuries earlier.,not_entailment,text,text,entailment,"['entailment', 'not_entailment']"
"There is a pillar between me and the stage, and I can't see around it.",I can't see around the stage.,entailment,text,text,entailment,"['entailment', 'not_entailment']"
"Archaeologists have concluded that humans lived in Laputa 20,000 years ago. They hunted for deer on the river banks.",Prehistoric humans hunted for deer on the river banks.,not_entailment,text,text,entailment,"['entailment', 'not_entailment']"
"Sam and Amy are passionately in love, but Amy's parents are unhappy about it, because they are snobs.",Amy's parents are snobs.,not_entailment,text,text,entailment,"['entailment', 'not_entailment']"
Bill passed the half-empty plate to John because he was hungry.,John was hungry.,not_entailment,text,text,entailment,"['entailment', 'not_entailment']"
Sara borrowed the book from the library because she needs it for an article she is working on. She writes it when she gets home from work.,She writes the book when she gets home from work.,entailment,text,text,entailment,"['entailment', 'not_entailment']"
"John promised Bill to leave, so an hour later he left.",Bill left.,entailment,text,text,entailment,"['entailment', 'not_entailment']"
Sara borrowed the book from the library because she needs it for an article she is working on. She reads it when she gets home from work.,She reads the article when she gets home from work.,entailment,text,text,entailment,"['entailment', 'not_entailment']"
Mark heard Steve's feet going down the ladder. The door of the shop closed after him. He ran to look out the window.,The door of the shop closed after Steve.,not_entailment,text,text,entailment,"['entailment', 'not_entailment']"
"Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father, he was twelve years old.","When Fred first saw my father, My father was twelve years old.",entailment,text,text,entailment,"['entailment', 'not_entailment']"
