text_a,text_a_type,text_b,text_b_type,classes,type_of_relation,label
"The table was piled high with food, and on the floor beside it there were crocks, baskets, and a five-quart pail of milk.",premise,"Beside the table there were crocks, baskets, and a five-quart pail of milk.",hypothesis,"['entailment', 'not entailment']",entailment,not entailment
Jim comforted Kevin because he was so upset.,premise,Kevin was so upset.,hypothesis,"['entailment', 'not entailment']",entailment,not entailment
"Jackson was greatly influenced by Arnold, though he lived two centuries earlier.",premise,Arnold lived two centuries earlier.,hypothesis,"['entailment', 'not entailment']",entailment,not entailment
"There is a pillar between me and the stage, and I can't see around it.",premise,I can't see around the stage.,hypothesis,"['entailment', 'not entailment']",entailment,entailment
"Archaeologists have concluded that humans lived in Laputa 20,000 years ago. They hunted for deer on the river banks.",premise,Prehistoric humans hunted for deer on the river banks.,hypothesis,"['entailment', 'not entailment']",entailment,not entailment
"Sam and Amy are passionately in love, but Amy's parents are unhappy about it, because they are snobs.",premise,Amy's parents are snobs.,hypothesis,"['entailment', 'not entailment']",entailment,not entailment
Bill passed the half-empty plate to John because he was hungry.,premise,John was hungry.,hypothesis,"['entailment', 'not entailment']",entailment,not entailment
Sara borrowed the book from the library because she needs it for an article she is working on. She writes it when she gets home from work.,premise,She writes the book when she gets home from work.,hypothesis,"['entailment', 'not entailment']",entailment,entailment
Mark heard Steve's feet going down the ladder. The door of the shop closed after him. He ran to look out the window.,premise,The door of the shop closed after Steve.,hypothesis,"['entailment', 'not entailment']",entailment,not entailment
"Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father, he was twelve years old.",premise,"When Fred first saw my father, My father was twelve years old.",hypothesis,"['entailment', 'not entailment']",entailment,entailment
"Tatyana knew that Grandma always enjoyed serving an abundance of food to her guests. Now Tatyana watched as Grandma gathered Tatyana's small mother into a wide, scrawny embrace and then propelled her to the table, lifting her shawl from her shoulders, seating her in the place of honor, and saying simply: ""There's plenty.""",premise,"Grandma gathered Tatyana's small mother into a wide, scrawny embrace and then propelled Grandma to the table.",hypothesis,"['entailment', 'not entailment']",entailment,entailment
Fred watched TV while George went out to buy groceries. After an hour he got back.,premise,George got back.,hypothesis,"['entailment', 'not entailment']",entailment,not entailment
"Lily spoke to Donna, breaking her concentration.",premise,"Lily spoke to Donna, breaking Donna's concentration.",hypothesis,"['entailment', 'not entailment']",entailment,not entailment
"Although they ran at about the same speed, Sue beat Sally because she had such a bad start.",premise,Sue had such a bad start.,hypothesis,"['entailment', 'not entailment']",entailment,entailment
Madonna fired her trainer because she couldn't stand her boyfriend.,premise,She couldn't stand Madonna's boyfriend.,hypothesis,"['entailment', 'not entailment']",entailment,entailment
