text_a,text_a_type,text_b,text_b_type,classes,type_of_relation,label
What conflict overseen by President Polk might be the source of Tennessee's nickname?,question,"This explanation is more likely, because President Polk's call for 2,600 nationwide volunteers at the beginning of the Mexican-American War resulted in 30,000 volunteers from Tennessee alone, largely in response to the death of Davy Crockett and appeals by former Tennessee Governor and now Texas politician, Sam Houston.",sentence,"['entailment', 'not entailment']",entailment,not entailment
In Chinese Buddhism what meditation is more popular?,question,"According to Routledge's Encyclopedia of Buddhism, in contrast, throughout most of Buddhist history before modern times, serious meditation by lay people has been unusual.",sentence,"['entailment', 'not entailment']",entailment,not entailment
When did European sport clubs begin to form in the Ottoman empire?,question,"The main sports Ottomans were engaged in were Turkish Wrestling, hunting, Turkish archery, horseback riding, Equestrian javelin throw, arm wrestling, and swimming.",sentence,"['entailment', 'not entailment']",entailment,not entailment
What part of their motherboards does Dell not reveal the specifications of?,question,"While motherboard power connections reverted to the industry standard in 2003, Dell continues to remain secretive about their motherboard pin-outs for peripherals (such as MMC readers and power on/off switches and LEDs).",sentence,"['entailment', 'not entailment']",entailment,entailment
What was the highest order of species n land?,question,"The climate was much more humid than the Triassic, and as a result, the world was very tropical.",sentence,"['entailment', 'not entailment']",entailment,not entailment
What did Darwin speculate might be how inheritable variations might come about in a species?,question,"Darwin also admitted ignorance of the source of inheritable variations, but speculated they might be produced by environmental factors.",sentence,"['entailment', 'not entailment']",entailment,entailment
The environmental intervention was linked to the conceptualization of what process?,question,"Between 1791 and 1833, Saint Helena became the site of a series of experiments in conservation, reforestation and attempts to boost rainfall artificially.",sentence,"['entailment', 'not entailment']",entailment,not entailment
How much of the Bronx vote did Hillquit get in 1917?,question,"The only Republican to carry the Bronx since 1914 was Fiorello La Guardia in 1933, 1937 and 1941 (and in the latter two elections, only because his 30-32% vote on the American Labor Party line was added to 22-23% as a Republican).",sentence,"['entailment', 'not entailment']",entailment,not entailment
What is restricted unless the film has a traditional theater release?,question,"Deaner further explained the matter in terms of the Australian film industry, stating: ""there are currently restrictions on quantities of tax support that a film can receive unless the film has a traditional cinema release.""",sentence,"['entailment', 'not entailment']",entailment,entailment
"Along with Bermuda, what other English colony did many settlers come from?",question,"Among these were free people of color, born in the West Indies of alliances and marriages between Africans and Englanders, when color lines were looser among the working class in the early colonial years, and some wealthy whites took black consorts or concubines.",sentence,"['entailment', 'not entailment']",entailment,not entailment
How does aposematism help a species population?,question,"While that particular prey organism may be killed, the coloring benefits the prey species as a whole.",sentence,"['entailment', 'not entailment']",entailment,not entailment
What does confrontational scavenging involve doing to other predators after they've made a kill?,question,"Robert Blumenschine proposed the idea of confrontational scavenging, which involves challenging and scaring off other predators after they have made a kill, which he suggests could have been the leading method of obtaining protein-rich meat by early humans.",sentence,"['entailment', 'not entailment']",entailment,entailment
Why were dogs initially selected?,question,"Unlike other domestic species which were primarily selected for production-related traits, dogs were initially selected for their behaviors.",sentence,"['entailment', 'not entailment']",entailment,entailment
In what century was the church established at the location?,question,"Construction of the present church began in 1245, on the orders of King Henry III.",sentence,"['entailment', 'not entailment']",entailment,not entailment
What is the term that refers to areas where an antennas radiation is zero?,question,"The radiation of many antennas shows a pattern of maxima or ""lobes"" at various angles, separated by ""nulls"", angles where the radiation falls to zero.",sentence,"['entailment', 'not entailment']",entailment,entailment
What did the abbot remain as a town built around the abbey?,question,The proximity of the Palace of Westminster did not extend to providing monks or abbots with high royal connections; in social origin the Benedictines of Westminster were as modest as most of the order.,sentence,"['entailment', 'not entailment']",entailment,not entailment
"What library was estimated to have 700,000 volumes?",question,The city of Pergamon also had a large library and became a major center of book production.,sentence,"['entailment', 'not entailment']",entailment,not entailment
What was Zhejiang formerly romanized as?,question,"Zhejiang is bordered by Jiangsu province and Shanghai municipality to the north, Anhui province to the northwest, Jiangxi province to the west, and Fujian province to the south; to the east is the East China Sea, beyond which lie the Ryukyu Islands of Japan.",sentence,"['entailment', 'not entailment']",entailment,not entailment
Who did the children work beside?,question,"In many cases, men worked from home.",sentence,"['entailment', 'not entailment']",entailment,not entailment
Who was the Bishop in this time frame?,question,"Construction of the present church began in 1245, on the orders of King Henry III.",sentence,"['entailment', 'not entailment']",entailment,not entailment
Analysis by what organization detailed that municipality-based rankings may be inaccurate?,question,"However, an analysis by the Regional Data Cooperative for Greater New Haven, Inc., has shown that due to issues of comparative denominators and other factors, such municipality-based rankings can be considered inaccurate.",sentence,"['entailment', 'not entailment']",entailment,entailment
How many trophy designs have there bee?,question,"The FA decided to change the design after the 1909 winners, Manchester United, made their own replica, leading the FA to realise they did not own the copyright.",sentence,"['entailment', 'not entailment']",entailment,not entailment
What is the molecular weight loss of antibacterial compounds?,question,"Compounds that are still isolated from living organisms are the aminoglycosides, whereas other antibacterials—for example, the sulfonamides, the quinolones, and the oxazolidinones—are produced solely by chemical synthesis.",sentence,"['entailment', 'not entailment']",entailment,not entailment
What colleagues are best to work with to reach a consensus?,question,"Gephardt added that ""inclusion and empowerment of the people on the line have to be done to get the best performance"" from the minority party.",sentence,"['entailment', 'not entailment']",entailment,not entailment
What city was FIFA formed?,question,"FIFA, the international football body, was formed in Paris in 1904 and declared that they would adhere to Laws of the Game of the Football Association.",sentence,"['entailment', 'not entailment']",entailment,entailment
Which philosopher described the invention of a belt drive?,question,"Yang Xiong described the invention of the belt drive for a quilling machine, which was of great importance to early textile manufacturing.",sentence,"['entailment', 'not entailment']",entailment,entailment
How many alumni does Olin Business School have worldwide?,question,"Olin has a network of more than 16,000 alumni worldwide.",sentence,"['entailment', 'not entailment']",entailment,entailment
What was the goal of the 2002 Philippines deployment?,question,"The goal of the program was to provide medical care and services to the region of Basilan as part of a ""Hearts and Minds"" program.",sentence,"['entailment', 'not entailment']",entailment,not entailment
Which band was he largest benefit concert in history about?,question,"Performers, including Def Leppard, Robert Plant, Guns N' Roses, Elton John, David Bowie, George Michael, Annie Lennox, Seal, Extreme, and Metallica performed various Queen songs along with the three remaining Queen members (and Spike Edney.)",sentence,"['entailment', 'not entailment']",entailment,entailment
The most popular early Marvel heroes were collectively and colloquially known as what?,question,"While no other Timely character would achieve the success of these ""big three"", some notable heroes—many of which continue to appear in modern-day retcon appearances and flashbacks—include the Whizzer, Miss America, the Destroyer, the original Vision, and the Angel.",sentence,"['entailment', 'not entailment']",entailment,entailment
Did everyone endorse Gaddafi?,question,"Gaddafi remained the government's public face, with the identities of the other RCC members only being publicly revealed on 10 January 1970.",sentence,"['entailment', 'not entailment']",entailment,not entailment
What type of lanterns are used outside elevators as well as inside most cabs?,question,The former are almost universal in cab interiors with more than two stops and may be found outside the elevators as well on one or more of the floors.,sentence,"['entailment', 'not entailment']",entailment,not entailment
